,y-coordinate,tempo
0.0,7.588902590102293,0.0
0.001,7.559388934222905,0.001
0.002,7.0063565497255675,0.002
0.003,6.929557769577873,0.003
0.004,6.611583923919608,0.004
0.005,5.71501684477637,0.005
0.006,5.5063147362622225,0.006
0.007,5.0081668831260915,0.007
0.008,4.571973171170391,0.008
0.009000000000000001,4.460298011601655,0.009000000000000001
0.01,3.6293229686248605,0.01
0.011,3.6447969556795288,0.011
0.012,3.107123053389043,0.012
0.013000000000000001,2.8295925926567103,0.013000000000000001
0.014,2.173391090901823,0.014
0.015,1.9290873164381763,0.015
0.016,1.547741750605494,0.016
0.017,1.1015702223202553,0.017
0.018000000000000002,0.35500454149445526,0.018000000000000002
0.019,0.23257786654535048,0.019
0.02,-0.18029343917652585,0.02
0.021,-0.7719734003992305,0.021
0.022,-1.0541781257615839,0.022
0.023,-1.5559659695321428,0.023
0.024,-1.3160862835317912,0.024
0.025,-1.8908811972634352,0.025
0.026000000000000002,-2.4789295688534647,0.026000000000000002
0.027,-3.076573002356993,0.027
0.028,-3.712082834714228,0.028
0.029,-3.402660619703287,0.029
0.03,-4.171407837539948,0.03
0.031,-4.310520317311483,0.031
0.032,-4.734546161842237,0.032
0.033,-5.280636509450117,0.033
0.034,-5.378428784821795,0.034
0.035,-5.303903580774266,0.035
0.036000000000000004,-5.892330505722511,0.036000000000000004
0.037,-6.363095644738804,0.037
0.038,-6.582433434838255,0.038
0.039,-6.3604537974533315,0.039
0.04,-7.089996968995156,0.04
0.041,-6.828098804171852,0.041
0.042,-7.530463509964363,0.042
0.043000000000000003,-7.70227095104726,0.043000000000000003
0.044,-7.623155894481276,0.044
0.045,-7.89429008366652,0.045
0.046,-8.280995508306999,0.046
0.047,-8.412318500604979,0.047
0.048,-7.994462510755584,0.048
0.049,-8.516870619045777,0.049
0.05,-8.523338072132693,0.05
0.051000000000000004,-8.798888404785147,0.051000000000000004
0.052000000000000005,-8.942902935902723,0.052000000000000005
0.053,-8.85114580847842,0.053
0.054,-8.858178956378232,0.054
0.055,-8.99828109744921,0.055
0.056,-8.860738379397182,0.056
0.057,-9.320906213031403,0.057
0.058,-9.016606271200212,0.058
0.059000000000000004,-9.082020035841863,0.059000000000000004
0.06,-8.955727196738689,0.06
0.061,-8.894397396294321,0.061
0.062,-9.02322325495182,0.062
0.063,-8.873611383546255,0.063
0.064,-9.12091051952176,0.064
0.065,-8.63035454876889,0.065
0.066,-8.382467485260424,0.066
0.067,-8.611208218613013,0.067
0.068,-8.44238948916851,0.068
0.069,-8.327646093774433,0.069
0.07,-8.406959859726864,0.07
0.07100000000000001,-8.318460364395504,0.07100000000000001
0.07200000000000001,-7.630418957340193,0.07200000000000001
0.073,-7.6069031766338675,0.073
0.074,-7.423436323744875,0.074
0.075,-7.212417810778074,0.075
0.076,-7.1202146761162455,0.076
0.077,-6.68707780581782,0.077
0.078,-6.510836934689885,0.078
0.079,-6.327522246291388,0.079
0.08,-6.453069080271116,0.08
0.081,-6.076380255550697,0.081
0.082,-5.341323392183169,0.082
0.083,-5.262843339999512,0.083
0.084,-5.070964500347953,0.084
0.085,-5.0487456753874955,0.085
0.08600000000000001,-4.275036864130212,0.08600000000000001
0.08700000000000001,-4.241591213430677,0.08700000000000001
0.088,-4.0687905922660486,0.088
0.089,-3.5368793308047213,0.089
0.09,-3.237321595071135,0.09
0.091,-2.574715154542485,0.091
0.092,-2.6573754101950207,0.092
0.093,-2.3715738931485513,0.093
0.094,-1.8777142729681486,0.094
0.095,-1.4475925032724308,0.095
0.096,-1.3346509885680518,0.096
0.097,-0.9908238590006746,0.097
0.098,-0.7440622663877311,0.098
0.099,-0.48314957718908025,0.099
0.1,0.1806005793467968,0.1
0.101,0.1704819971466096,0.101
0.10200000000000001,0.4886625277918666,0.10200000000000001
0.10300000000000001,0.726065369655072,0.10300000000000001
0.10400000000000001,1.0256157245828827,0.10400000000000001
0.105,1.2491875030996302,0.105
0.106,1.5871415844038577,0.106
0.107,2.1701018263334575,0.107
0.108,2.09235107246375,0.108
0.109,2.3562432761706282,0.109
0.11,2.3812983408718815,0.11
0.111,3.2640786122655516,0.111
0.112,3.2110754457845374,0.112
0.113,3.9115324324927974,0.113
0.114,4.1665304766584095,0.114
0.115,4.090649359683726,0.115
0.116,4.440538649335345,0.116
0.117,4.604792044295832,0.117
0.11800000000000001,4.353449858370869,0.11800000000000001
0.11900000000000001,4.967711322423358,0.11900000000000001
0.12,5.347276905312075,0.12
0.121,5.442603536615556,0.121
0.122,5.671757104407558,0.122
0.123,5.92075217660492,0.123
0.124,5.9916234311066034,0.124
0.125,5.807961215498349,0.125
0.126,6.130118271301042,0.126
0.127,6.55783806930079,0.127
0.128,6.477791376864504,0.128
0.129,6.484029923278364,0.129
0.13,7.011766557468595,0.13
0.131,7.151968895153861,0.131
0.132,7.148312668528975,0.132
0.133,6.991578483148878,0.133
0.134,6.996115483653956,0.134
0.135,7.263008975854469,0.135
0.136,7.660372758502847,0.136
0.137,7.508409047486409,0.137
0.138,7.872825998549099,0.138
0.139,7.502437839582869,0.139
0.14,7.484736848494531,0.14
0.14100000000000001,7.821075778667472,0.14100000000000001
0.14200000000000002,7.876023400171354,0.14200000000000002
0.14300000000000002,8.068214908107747,0.14300000000000002
0.14400000000000002,7.596138556687135,0.14400000000000002
0.145,7.898461748547044,0.145
0.146,7.824786003732202,0.146
0.147,8.27650223472005,0.147
0.148,8.247332343579833,0.148
0.149,8.270224462919826,0.149
0.15,8.514613430722713,0.15
0.151,8.26905007987391,0.151
0.152,8.248734873667859,0.152
0.153,8.370814363862824,0.153
0.154,7.898088879682355,0.154
0.155,7.965920359791984,0.155
0.156,8.078115295746073,0.156
0.157,7.919245871019021,0.157
0.158,8.01556367596842,0.158
0.159,7.73553320057427,0.159
0.16,7.725726254923494,0.16
0.161,7.869327889119714,0.161
0.162,8.193362851690084,0.162
0.163,7.686954062152106,0.163
0.164,7.594722525592485,0.164
0.165,7.462773323319015,0.165
0.166,7.418207158376572,0.166
0.167,7.428582973131281,0.167
0.168,7.4970804309526375,0.168
0.169,7.208163962257975,0.169
0.17,6.840980514282517,0.17
0.171,7.053324744829199,0.171
0.17200000000000001,6.6393214620048,0.17200000000000001
0.17300000000000001,6.785367699906114,0.17300000000000001
0.17400000000000002,6.695727500401904,0.17400000000000002
0.17500000000000002,6.792823114749234,0.17500000000000002
0.176,6.228145215673591,0.176
0.177,6.581133053970634,0.177
0.178,6.314977776876219,0.178
0.179,6.401422194308492,0.179
0.18,6.196145658831676,0.18
0.181,6.227296797312221,0.181
0.182,5.885098827669664,0.182
0.183,6.2075600771994495,0.183
0.184,6.005409111529501,0.184
0.185,5.668674938849327,0.185
0.186,5.624908808516553,0.186
0.187,5.4444111946108595,0.187
0.188,5.0684729342909085,0.188
0.189,4.982535389952213,0.189
0.19,4.887153652954175,0.19
0.191,4.780870668022096,0.191
0.192,4.8829212732043015,0.192
0.193,4.648384954741763,0.193
0.194,4.404077470542202,0.194
0.195,4.4261541783932765,0.195
0.196,4.272265024242276,0.196
0.197,3.8532512626990005,0.197
0.198,3.6203657444705404,0.198
0.199,3.962556720357774,0.199
0.2,3.658989217772855,0.2
0.201,3.5002844046998924,0.201
0.202,2.987842262987686,0.202
0.203,3.299268060802871,0.203
0.20400000000000001,2.8710689673363374,0.20400000000000001
0.20500000000000002,2.4654273848509924,0.20500000000000002
0.20600000000000002,1.955090276935679,0.20600000000000002
0.20700000000000002,2.013242509926239,0.20700000000000002
0.20800000000000002,1.9357124785326982,0.20800000000000002
0.209,1.5613187944994031,0.209
0.21,1.734246945435141,0.21
0.211,1.095882057659151,0.211
0.212,1.2926581215602082,0.212
0.213,1.2119173731248822,0.213
0.214,0.6298531869619418,0.214
0.215,0.01513487213575998,0.215
0.216,0.01185116145573148,0.216
0.217,-0.06243776011241604,0.217
0.218,-0.39160396063938385,0.218
0.219,-0.4717803785124916,0.219
0.22,-0.761049649110955,0.22
0.221,-1.2266024926614563,0.221
0.222,-1.4124507872334715,0.222
0.223,-1.4581124366850253,0.223
0.224,-1.5462087428853042,0.224
0.225,-1.6683701959738193,0.225
0.226,-2.2804221112957923,0.226
0.227,-2.7884454632013425,0.227
0.228,-2.6262116346639126,0.228
0.229,-3.090683256249591,0.229
0.23,-3.6781020050144178,0.23
0.231,-3.68635507373775,0.231
0.232,-3.6462874887441483,0.232
0.233,-4.04954202663975,0.233
0.234,-4.424129861590211,0.234
0.23500000000000001,-5.019746549638472,0.23500000000000001
0.23600000000000002,-5.279880211823101,0.23600000000000002
