,y-coordinate,tempo
0.0,429.9041301896698,0.0
0.001,404.49298184345315,0.001
0.002,378.5997845980398,0.002
0.003,350.8458805671713,0.003
0.004,322.83667116249654,0.004
0.005,293.36353109984117,0.005
0.006,263.3682125333951,0.006
0.007,233.06722774929702,0.007
0.008,201.9673626734347,0.008
0.009000000000000001,170.09054734989647,0.009000000000000001
0.01,138.82978549010593,0.01
0.011,105.66093483158697,0.011
0.012,73.63533630054397,0.012
0.013000000000000001,41.31289544563755,0.013000000000000001
0.014,8.98219718494696,0.014
0.015,-23.354870634403483,0.015
0.016,-55.52054525025878,0.016
0.017,-86.97070073692137,0.017
0.018000000000000002,-118.58363002909492,0.018000000000000002
0.019,-148.60675393630558,0.019
0.02,-179.24339677127043,0.02
0.021,-208.37777913402505,0.021
0.022,-237.1646567067111,0.022
0.023,-264.8810025599197,0.023
0.024,-291.85862481540323,0.024
0.025,-317.0357842071013,0.025
0.026000000000000002,-341.65523905019944,0.026000000000000002
0.027,-364.9187382924629,0.027
0.028,-387.53114567915475,0.028
0.029,-407.9652874137257,0.029
0.03,-427.32435464037184,0.03
0.031,-445.61747826345504,0.031
0.032,-461.565725183837,0.032
0.033,-477.00707005462016,0.033
0.034,-490.3051235545098,0.034
0.035,-502.2275999785005,0.035
0.036000000000000004,-512.129372745578,0.036000000000000004
0.037,-520.5655484847713,0.037
0.038,-527.5467706458644,0.038
0.039,-532.5332507324091,0.039
0.04,-536.6024600099704,0.04
0.041,-538.2367996278006,0.041
0.042,-538.2119787738391,0.042
0.043000000000000003,-536.9919859877473,0.043000000000000003
0.044,-533.6314666170455,0.044
0.045,-528.6572799652772,0.045
0.046,-521.9280888200924,0.046
0.047,-514.1969312108288,0.047
0.048,-504.6590275511359,0.048
0.049,-493.76670107026484,0.049
0.05,-481.1686261279335,0.05
0.051000000000000004,-466.5991632425869,0.051000000000000004
0.052000000000000005,-451.4329098403393,0.052000000000000005
0.053,-435.05753935773026,0.053
0.054,-416.73806655170125,0.054
0.055,-397.26689126114894,0.055
0.056,-377.411390826936,0.056
0.057,-355.9863250128039,0.057
0.058,-333.7272480118055,0.058
0.059000000000000004,-310.05568234407696,0.059000000000000004
0.06,-286.2618435281537,0.06
0.061,-261.31739209564006,0.061
0.062,-235.524739160781,0.062
0.063,-209.37818020974416,0.063
0.064,-182.7906444430787,0.064
0.065,-155.68898779373453,0.065
0.066,-128.1195912627074,0.066
0.067,-100.16459114924761,0.067
0.068,-72.4075895287095,0.068
0.069,-44.647658889350446,0.069
0.07,-16.424076962528165,0.07
0.07100000000000001,11.232518152153881,0.07100000000000001
0.07200000000000001,39.2533972310419,0.07200000000000001
0.073,66.27587975025791,0.073
0.074,93.71328108438328,0.074
0.075,120.07890686749117,0.075
0.076,146.09717133646453,0.076
0.077,171.7851181906993,0.077
0.078,196.6921070132998,0.078
0.079,220.20403777711317,0.079
0.08,244.32234131427163,0.08
0.081,266.5457502624981,0.081
0.082,287.91469714496895,0.082
0.083,308.316360885512,0.083
0.084,327.66976019417405,0.084
0.085,346.0035918387239,0.085
0.08600000000000001,362.92037401764344,0.08600000000000001
0.08700000000000001,378.49981214382797,0.08700000000000001
0.088,393.5807304390503,0.088
0.089,406.79088652825044,0.089
0.09,419.07504547976254,0.09
0.091,429.4488695269625,0.091
0.092,438.87473640990913,0.092
0.093,446.5107472061532,0.093
0.094,452.78652960641136,0.094
0.095,458.03335145811974,0.095
0.096,461.11013354606087,0.096
0.097,462.864547033733,0.097
0.098,463.88153319152315,0.098
0.099,462.7984470563227,0.099
0.1,460.29855217364144,0.1
0.101,456.7053962445799,0.101
0.10200000000000001,451.48798049464403,0.10200000000000001
0.10300000000000001,444.89642100248636,0.10300000000000001
0.10400000000000001,436.85114379277445,0.10400000000000001
0.105,427.5116804462897,0.105
0.106,417.704538053763,0.106
0.107,405.80105557017504,0.107
0.108,392.86750267519676,0.108
0.109,378.9074723272992,0.109
0.11,363.5695860068792,0.11
0.111,347.405979123929,0.111
0.112,330.2440813563875,0.112
0.113,311.7557533371974,0.113
0.114,292.97590445465073,0.114
0.115,273.36736217072206,0.115
0.116,252.3783349657036,0.116
0.117,231.39585991905534,0.117
0.11800000000000001,209.53837368114645,0.11800000000000001
0.11900000000000001,186.77611855461106,0.11900000000000001
0.12,163.8750412901354,0.12
0.121,140.7545785586161,0.121
0.122,116.7502350224549,0.122
0.123,93.50156538243932,0.123
0.124,68.87672936501158,0.124
0.125,45.2412858684397,0.125
0.126,21.039020659333662,0.126
0.127,-2.496475575243814,0.127
0.128,-26.880155745232006,0.128
0.129,-50.62390501618986,0.129
0.13,-74.23963051280306,0.13
0.131,-96.9778356191585,0.131
0.132,-119.83599656404179,0.132
0.133,-141.54625192132397,0.133
0.134,-163.60644339847653,0.134
0.135,-184.70564826013126,0.135
0.136,-204.95043188899314,0.136
0.137,-224.11480072801658,0.137
0.138,-243.07712064666399,0.138
0.139,-260.7989401745692,0.139
0.14,-278.0271230686511,0.14
0.14100000000000001,-293.8885247431022,0.14100000000000001
0.14200000000000002,-308.9855184996912,0.14200000000000002
0.14300000000000002,-323.20599978743303,0.14300000000000002
0.14400000000000002,-335.91953716984705,0.14400000000000002
0.145,-347.5557490555124,0.145
0.146,-358.4610000111853,0.146
0.147,-368.0461754596028,0.147
0.148,-375.95862174141416,0.148
0.149,-382.9158523798041,0.149
0.15,-388.79084432929557,0.15
0.151,-393.4635472305905,0.151
0.152,-397.120762267207,0.152
0.153,-398.87292221630446,0.153
0.154,-399.7496283777098,0.154
0.155,-399.5043565777228,0.155
0.156,-397.7656921191446,0.156
0.157,-394.91495650795673,0.157
0.158,-390.6367800462115,0.158
0.159,-385.6688300163,0.159
0.16,-379.0368293652077,0.16
0.161,-371.018348477449,0.161
0.162,-362.66145300549084,0.162
0.163,-352.6223115461723,0.163
0.164,-341.70664235347095,0.164
0.165,-329.7454833480197,0.165
0.166,-317.3181801457841,0.166
0.167,-303.3234957363903,0.167
0.168,-288.7121293693824,0.168
0.169,-272.91944845201596,0.169
0.17,-256.85769610176334,0.17
0.171,-240.08308646341854,0.171
0.17200000000000001,-222.08149871252706,0.17200000000000001
0.17300000000000001,-203.96366893860701,0.17300000000000001
0.17400000000000002,-185.33350156008493,0.17400000000000002
0.17500000000000002,-166.2810385161269,0.17500000000000002
0.176,-146.84319095267597,0.176
0.177,-126.4300573427369,0.177
0.178,-106.3078070907684,0.178
0.179,-85.60980681822822,0.179
0.18,-65.5016135287511,0.18
0.181,-44.48827088810748,0.181
0.182,-23.70073181623142,0.182
0.183,-2.9675196201414433,0.183
0.184,18.01637895269282,0.184
0.185,38.43069602122197,0.185
0.186,58.83078590839852,0.186
0.187,78.42963171425505,0.187
0.188,98.28806766846267,0.188
0.189,117.84660707217155,0.189
0.19,136.5329753302854,0.19
0.191,154.79955979919444,0.191
0.192,172.13116649668765,0.192
0.193,189.49283418104397,0.193
0.194,205.5078448033694,0.194
0.195,221.50309271365654,0.195
0.196,236.160605309756,0.196
0.197,250.08194929946467,0.197
0.198,263.29827730359074,0.198
0.199,275.72435013937184,0.199
0.2,287.3762185670407,0.2
0.201,297.66329405653,0.201
0.202,307.20773557284934,0.202
0.203,315.60997628833917,0.203
0.20400000000000001,322.81512578727546,0.20400000000000001
0.20500000000000002,328.9542039946169,0.20500000000000002
0.20600000000000002,334.7184437177278,0.20600000000000002
0.20700000000000002,339.18952646948065,0.20700000000000002
0.20800000000000002,342.0692095107938,0.20800000000000002
0.209,344.24862676891144,0.209
0.21,345.04377527281747,0.21
0.211,345.71814984903176,0.211
0.212,344.2196218609132,0.212
0.213,341.45975940873524,0.213
0.214,338.48479387869247,0.214
0.215,334.39543006912754,0.215
0.216,328.5572632410844,0.216
0.217,322.65856819060946,0.217
0.218,315.61965623052987,0.218
0.219,307.50044540888035,0.219
0.22,297.9985698897895,0.22
0.221,288.06547753938,0.221
0.222,277.440767080065,0.222
0.223,265.4701523425445,0.223
0.224,253.08931925149435,0.224
0.225,240.0758115122311,0.225
0.226,225.89628795372616,0.226
0.227,211.44513637177863,0.227
0.228,196.46329333733715,0.228
0.229,180.59725766563773,0.229
0.23,165.04941194259123,0.23
0.231,148.22296517221784,0.231
0.232,131.6635259947755,0.232
0.233,114.73153259704196,0.233
0.234,96.42100683173234,0.234
0.23500000000000001,78.9137053978939,0.23500000000000001
0.23600000000000002,61.40925321445193,0.23600000000000002
0.23700000000000002,43.44602101918828,0.23700000000000002
0.23800000000000002,25.260893460798098,0.23800000000000002
0.23900000000000002,7.18093192115409,0.23900000000000002
0.24,-10.701930727774087,0.24
0.241,-28.184417397321354,0.241
0.242,-46.01291479015026,0.242
0.243,-63.20663662686673,0.243
0.244,-79.96425236579226,0.244
0.245,-97.18407226052837,0.245
0.246,-113.57285797542683,0.246
0.247,-129.66671160599913,0.247
0.248,-144.8874825711931,0.248
0.249,-160.15220817761931,0.249
